,회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별),재고자산회전율(개별),재고자산회전율(연결)
206,(주)고영테크놀러지,98460,Dec-18,238208865.0,31398344.0,219818022.0,19487304.0,11.280063265806291,7.586669698249054
207,(주)고영테크놀러지,98460,Dec-19,222057035.0,36331529.0,209480760.0,21338197.0,9.817172463071739,6.111965037309605
208,(주)골드앤에스,35290,Dec-11,47522791.0,2865869.0,47522791.0,2865869.0,16.58233192096359,16.58233192096359
209,(주)골드앤에스,35290,Dec-12,43889087.0,2643834.0,43889087.0,2643834.0,16.60054564696573,16.60054564696573
210,(주)골드앤에스,35290,Dec-13,39548810.0,3133301.0,36607591.0,3133301.0,11.683394286089973,12.622090887533627
211,(주)골드앤에스,35290,Dec-14,31287203.0,2940734.0,29428881.0,2940734.0,10.007325041979316,10.639249588708125
212,(주)골드앤에스,35290,Dec-15,22197935.0,2329866.0,22197935.0,2329866.0,9.52755866646408,9.52755866646408
213,(주)골드앤에스,35290,Dec-16,15893494.0,1958738.0,15893494.0,1958738.0,8.11415002925353,8.11415002925353
214,(주)골드앤에스,35290,Dec-17,12802035.0,1057469.0,12802035.0,1057469.0,12.106298151529737,12.106298151529737
215,(주)골드앤에스,35290,Dec-18,8680452.0,1290682.0,8680452.0,1290682.0,6.725476918404379,6.725476918404379
216,(주)골드앤에스,35290,Dec-19,7642733.0,498013.0,7642733.0,498013.0,15.346452803440874,15.346452803440874
217,(주)골드퍼시픽,38530,Dec-11,,,11236925.0,4047225.0,2.7764517663337225,
218,(주)골드퍼시픽,38530,Dec-12,,,10491048.0,6326625.0,1.6582376859700076,
219,(주)골드퍼시픽,38530,Dec-13,7167832.0,6434511.0,6488691.0,5930685.0,1.0940879510545578,1.1139668577767603
220,(주)골드퍼시픽,38530,Dec-14,16486257.0,7662615.0,4855121.0,3617004.0,1.34230457030183,2.1515183785169945
221,(주)골드퍼시픽,38530,Dec-15,18635305.0,1707754.0,6121489.0,1707754.0,3.5845262256741894,10.912171776497082
222,(주)골드퍼시픽,38530,Dec-16,,,9588100.0,55567.0,172.5502546475426,
223,(주)골드퍼시픽,38530,Dec-17,,,5031439.0,545070.0,9.230812556185445,
224,(주)골드퍼시픽,38530,Dec-18,5708281.0,1607114.0,5580994.0,807960.0,6.907512748155849,3.551883064922588
225,(주)골드퍼시픽,38530,Dec-19,,,11323125.0,3548341.0,3.1911039553413834,
226,(주)골프존,215000,Dec-15,201560389.0,3108991.0,184085342.0,1816661.0,101.33169699795394,64.83144820940299
227,(주)골프존,215000,Dec-16,216964342.0,12659642.0,196864993.0,11069054.0,17.785168723542228,17.138268364934806
228,(주)골프존,215000,Dec-17,200105321.0,13130013.0,171859065.0,10223995.0,16.80938468768813,15.240298771981413
229,(주)골프존,215000,Dec-18,198705194.0,10498417.0,191571105.0,7999910.0,23.946657524897155,18.927157684820482
230,(주)골프존,215000,Dec-19,247018099.0,10880176.0,239051647.0,7433871.0,32.157088413291,22.703502130847884
