회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS)
(주)그리티,204020,2018/12,74460588,4810592,74051025,6019400
(주)그리티,204020,2019/12,74181103,1563323,74833748,2627015
(주)그린플러스,186230,2019/12,37391337,2533086,36772875,2435883
(주)글로벌스탠다드테크놀로지,083450,2010/12,23808634,6767386,23746450,6070452
(주)글로벌스탠다드테크놀로지,083450,2011/12,27594673,3521902,26355250,2301945
(주)글로벌스탠다드테크놀로지,083450,2012/12,36008304,7003711,33379017,5403733
(주)글로벌스탠다드테크놀로지,083450,2013/12,42629997,5925826,39169886,5075966
(주)글로벌스탠다드테크놀로지,083450,2014/12,50846053,7880919,45624394,6151625
(주)글로벌스탠다드테크놀로지,083450,2015/12,56675666,5703892,49667680,3910170
(주)글로벌스탠다드테크놀로지,083450,2016/12,60779819,4644376,53103831,3758214
(주)글로벌스탠다드테크놀로지,083450,2017/12,78275559,15756344,67278478,13135277
(주)글로벌스탠다드테크놀로지,083450,2018/12,85807825,10303468,72640818,7747618
(주)글로벌스탠다드테크놀로지,083450,2019/12,103310701,17968416,90403163,17027156
(주)금비,008870,2010/09,,,78566232,1253313
(주)금비,008870,2011/09,127461261,5926611,76631712,828877
(주)금비,008870,2012/09,127569592,2324776,76286738,134171
(주)금비,008870,2013/09,127930275,1899708,75961191,302774
(주)금비,008870,2014/09,130427078,3097739,73951486,-1062704
(주)금비,008870,2015/09,138920965,7665205,75497346,2817261
(주)금비,008870,2016/09,146679335,13187315,80284267,6032090
(주)금비,008870,2017/09,150022915,6646301,80937315,1457776
(주)금비,008870,2018/09,156252159,10167339,83535809,4159383
(주)금비,008870,2019/09,163543704,10620899,84602682,2736847
(주)금양,001570,2010/12,41251206,530149,42072333,1511752
(주)금양,001570,2011/12,45175687,2964115,43024251,2436780
(주)금양,001570,2012/12,45542580,3717420,45261596,3159937
(주)금양,001570,2013/12,45554255,719232,45422689,1518013
(주)금양,001570,2014/12,44489985,-111826,46481587,2861900
(주)금양,001570,2015/12,57953744,14474633,46703110,2338700
(주)금양,001570,2016/12,34480745,-20526295,22239137,-23749351
