회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별)
(주)기가레인,49080,Dec-14,66351475,66351475,66100886,66100886
(주)기가레인,49080,Dec-15,72467615,72467615,69704999,69704999
(주)기가레인,49080,Dec-16,72641336,72641336,69374823,69374823
(주)기가레인,49080,Dec-17,66976190,66976190,64041329,64041329
(주)기가레인,49080,Dec-18,57511394,57511394,54575467,54575467
(주)기가레인,49080,Dec-19,47049665,47049665,41844081,41844081
(주)기산텔레콤,35460,Dec-11,13715434,13715434,453066,453066
(주)기산텔레콤,35460,Dec-12,2510457,2510457,526507,526507
(주)기산텔레콤,35460,Dec-13,2038242,2038242,589781,589781
(주)기산텔레콤,35460,Dec-14,2260344,2260344,504291,504291
(주)기산텔레콤,35460,Dec-15,2004855,2004855,419075,419075
(주)기산텔레콤,35460,Dec-16,2276642,2276642,349040,349040
(주)기산텔레콤,35460,Dec-17,2125925,2125925,364498,364498
(주)기산텔레콤,35460,Dec-18,1812418,1812418,218698,218698
(주)기산텔레콤,35460,Dec-19,9337828,9337828,5931892,5931892
(주)까뮤이앤씨,13700,Dec-11,,,53932952,53932952
(주)까뮤이앤씨,13700,Dec-12,,,31501983,31501983
(주)까뮤이앤씨,13700,Dec-13,,,34891163,34891163
(주)까뮤이앤씨,13700,Dec-14,,,35096062,35096062
